alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2]",pop_size,gens,time(seconds)
CAB,17,-82999.15805258283,-5473.953404847413,"[39.77389663617781, 2.067151595122672, 0.24733176472300628, 128.88857037556113, 1.532260663877588, 0.19714555176545678, -3.0974342787063973]",50,100,20.26
CAB,20,-80506.05888656886,-4834.485725127617,"[36.60412744433906, 2.156317291327688, 0.2819589889996904, 23.08502044703791, 1.9925350970820908, 0.16839607880438492, -2.887259868653148]",50,100,19.8
CAB,16,-45247.57010087965,-1914.6649454814087,"[19.93407052850813, 2.429860378220194, 0.35992913897293854, 189.69669801572493, 1.892069117818, 0.33743565213692644, -1.8595919697308645]",50,100,20.95
CAB,14,-81781.11366065213,-4937.712611198105,"[28.19190216498913, 2.043072936637751, 0.2999386891375613, 52.04266275037654, 1.507543297588321, 0.16348875832548465, -2.5553322292579215]",50,100,22.06
CAB,21,-26387.86545375299,-2272.4973306579295,"[8.573609505051108, 2.496046940917395, 0.4222139925922547, 65.60033565546567, 1.562186109216251, 0.37746590955700765, -2.7843376529389783]",50,100,21.74
CAB,18,-42636.24889416086,-2960.422342017067,"[49.204259818337, 1.6592425009294873, 0.29600298186032575, 164.44319796100785, 1.694361939808012, 0.19251259228014192, -1.7847393565087244]",50,100,22.51
CAB,19,-92757.628740211,-4256.807282914817,"[27.238062404697292, 1.6728002073297603, 0.21419781829700432, 27.050461716667535, 1.694932948132658, 0.16094117299906785, -3.394624666991882]",50,100,22.4
CAB,22,-49174.83433365029,-3486.093911693222,"[46.03849142968165, 2.4331075294471916, 0.5, 196.80838849607022, 1.6696488751568428, 0.16536387676113656, -2.0831102212644215]",50,100,22.02
CAB,23,-48547.57649020513,-4472.189366724286,"[48.413100071686884, 1.500086549347403, 0.3712561822331859, 64.84232123125321, 1.658046907685628, 0.17995159488000403, -3.21875418500219]",50,100,22.26
CAB,25,-76200.36073056032,-5037.79448481275,"[12.598835277516004, 1.862742155345033, 0.27022086061475864, 112.37877724278522, 1.9281952509341562, 0.2087786540386761, -3.306304575428642]",50,100,21.06
CAB,24,-73061.08000564598,-4686.582917846371,"[15.651986276910385, 1.520438939606231, 0.33731399033872234, 148.00183070540848, 1.8223296862058054, 0.1487337693201625, -2.5537461113486803]",50,100,22.09
CAB,26,-65638.59087892363,-3429.595253682922,"[15.15809614227861, 2.4947162311109543, 0.30269107381931926, 28.89965180500625, 0.8023249339123227, 0.215794554183613, -3.2532063579557793]",50,100,19.38
CAB,27,-74275.32394210657,-4691.47923023418,"[20.277269843308446, 1.6971076814207962, 0.3154644098720622, 141.4581735331366, 1.9043753297350428, 0.15543375843077747, -2.673182947587069]",50,100,19.8
CAB,28,-64918.56332400222,-4380.461467541505,"[45.669483179988966, 1.547213243388065, 0.3244505041962212, 82.6014659497545, 1.9328603535458686, 0.1323586757705787, -2.5723177233033057]",50,100,20.02
CAB,29,-157440.89488214938,-8761.330821612948,"[8.795396604361578, 2.640107507767261, 0.32552823628548283, 84.96178138512727, 2.835500277141654, 0.3684311355637516, -3.869603873616929]",50,100,22.1
CAB,31,-80383.36182049464,-4687.287476238797,"[47.188530044739885, 1.7855662110068136, 0.3163795128156704, 37.33877896541507, 1.8271634869363846, 0.1564086160581355, -2.6471064139411564]",50,100,20.35
CAB,30,-79286.40750318782,-3418.3638887048132,"[12.696408186150027, 1.7291382232736248, 0.25051252809889213, 170.51888273332406, 1.688008856405693, 0.15824543769778596, -2.704675709671138]",50,100,22.86
CAB,33,-16717.97435740148,-1395.20477404302,"[31.024006417210984, 2.2940260166938056, 0.47189497100841765, 173.70798612161036, 0.6503894553917103, 0.43232165932714656, -3.5005331513555418]",50,100,22.07
CAB,32,-37180.181901771924,-2100.916856862368,"[28.59230030730925, 2.181443239105526, 0.33280233881639903, 69.48009121671144, 1.6131757787341559, 0.15874881167009686, -1.5471668384080437]",50,100,22.46
CAB,35,-54610.47769080121,-2969.8278677730796,"[40.24056814790696, 2.434451613069225, 0.38777414180949477, 51.844356164070085, 1.7387783066168665, 0.17280080147419996, -1.627400425566994]",50,100,20.97
CAB,34,-52247.781794984876,-4637.293789529487,"[18.638492585672317, 1.9423196211013158, 0.3395600646065861, 181.54369327430905, 2.435466660678767, 0.28656574176578004, -2.762560348651899]",50,100,21.3
CAB,38,-75372.0213331485,-5672.262258204573,"[10.579049535392803, 2.63104755084228, 0.11134562531609904, 151.43273325457824, 2.6262430999095527, 0.3420187845962215, -3.582209690669094]",50,100,19.33
CAB,36,-55260.97712636833,-3318.313163056173,"[25.030965469920176, 1.5008326285091043, 0.47975729008910384, 53.13122624813395, 1.6358397014453392, 0.16894044021060445, -2.353443891433609]",50,100,21.47
CAB,37,-30588.52803216297,-2323.744022025571,"[8.231078327791336, 0.5930441006922961, 0.1451030193112957, 173.17501139583462, 2.4268852208360903, 0.1603722800898087, -2.592545627914642]",50,100,21.41
CAB,39,-77200.66083149222,-4639.023181789794,"[25.387949045096335, 1.5081485414049394, 0.3382755246073495, 25.559241575193397, 0.5260382855706965, 0.276530779644339, -3.457032290802084]",50,100,19.86
CAB,40,-52102.821291166394,-3172.9098882226326,"[7.138483613227394, 0.9720343929058339, 0.1697840449174019, 159.71324893503188, 2.411471286741733, 0.13521819853968942, -2.8725523598435205]",50,100,20.5
CAB,41,-57216.79231323189,-2431.324652794923,"[39.47931601011443, 2.499895188020292, 0.48978824231190554, 61.374664727040255, 1.6865728475392203, 0.1133395392848737, -2.3349384251488727]",50,100,20.48
CAB,42,-111449.71770014321,-4961.005768165312,"[6.993840392313858, 0.5492730257759745, 0.10493981437278575, 64.93894947322039, 1.8640053630757163, 0.12203827075153298, -3.5423850555063723]",50,100,20.81
CAB,45,-64296.42962206692,-4810.040807394246,"[8.467666232095944, 1.4940996568196556, 0.09901220186754832, 163.31408303779932, 1.631689518940799, 0.1415833514373811, -3.8190550549057636]",50,100,20.12
CAB,46,-87725.00558244923,-6341.765164541011,"[5.351951862992403, 2.1313103486471685, 0.1524603248434618, 193.99468758846442, 1.9328114658222628, 0.12803102730659513, -3.806853098869235]",50,100,19.43
CAB,43,-62220.77481222366,-2742.0480095484786,"[21.500275494844388, 1.8069317632303759, 0.43735883940082115, 157.5093881761571, 1.8912948375658623, 0.18551387598335897, -1.998420561718178]",50,100,21.43
CAB,44,-71943.87010656104,-4750.221513058968,"[34.40396863951924, 2.060748732250126, 0.26423364201932337, 64.03896382334226, 2.195846440469453, 0.19736436105806693, -2.71445399851701]",50,100,21.12
CAB,47,-42734.24919494761,-1892.5980288420772,"[45.64588106940042, 2.2854119150575616, 0.41382160370354104, 154.5302486914436, 1.8167737616492787, 0.3266275244648579, -2.200098182126399]",50,100,20.61
CAB,48,-64400.334161777224,-4053.625353904258,"[7.442874205204867, 1.647263268262082, 0.4984615914278041, 27.280207284606412, 1.2000982534845068, 0.39043909251794373, -3.043461553601828]",50,100,19.81
