alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,36,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 1.0123657608731438, 0.0, 12.0, 9.177216738513078]",50,17,10,0.0001,10,"[-2520.0130473667327, -3877.86436955083, -7566.551712219247, -7995.23819518074, -8420.45418167448, -8752.942791563904, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.37
PSO,26,-9433.138479717216,-1858.7831858112297,"[2.0, 0.25360067886610527, 0.0, 20.0, 0.5306913852368962, 0.0, 11.92768522853562, 8.805459388724758]",50,34,10,0.0001,10,"[-2740.941485457729, -3229.1779308164105, -3229.1779308164105, -3229.1779308164105, -3267.0113992520114, -3520.748772805462, -3520.748772805462, -3758.1808693258185, -5362.541485719118, -5508.082224136467, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5733.416790388588, -5817.5092566847825, -6863.532746643335, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",4.93
PSO,37,-9433.138479717216,-1858.7831858112297,"[2.0389485301237, 0.33640189237232476, 0.0, 20.0, 0.6464032377544318, 0.0, 11.673281511622706, 9.417502010723728]",50,20,10,0.0001,10,"[-2747.5767031342325, -4712.655139026405, -6866.339925691325, -7083.968814627697, -7897.127927172501, -8663.907197833372, -8663.907197833372, -9120.612614316176, -9120.612614316176, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.94
PSO,38,-9120.612614316176,-1566.7637681840627,"[2.0, 0.13808735785185178, 0.0, 20.0, 1.3163293687153728, 0.0, 7.403758440078136, 10.477195338758825]",50,20,10,0.0001,10,"[-3288.105586489147, -5556.369410376622, -5760.558748407082, -6363.060771587399, -6450.516880769331, -7268.441368484809, -7520.07199895166, -7520.07199895166, -8233.659353325758, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176, -9120.612614316176]",2.69
PSO,43,-3288.6831472576287,-956.7771778726336,"[5.440865173834991, 1.3241450162608168, 0.0, 233.59748306875034, 1.2929858378908077, 0.0, 9.444939800522986, 11.564132430261331]",50,18,10,0.0001,10,"[-2496.836257170301, -2874.8411240353025, -2874.8411240353025, -2874.8411240353025, -2874.8411240353025, -3153.882220811588, -3153.882220811588, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287, -3288.6831472576287]",2.12
PSO,39,-9000.575024764077,-1527.9934483349198,"[3.165391754108356, 0.0, 0.0, 20.0, 1.498131623327843, 0.0, 12.0, 12.451134246837286]",50,23,10,0.0001,10,"[-2334.688393160367, -2496.836257170301, -2750.8345455835247, -2750.8345455835247, -3249.9038340941665, -3249.9038340941665, -6165.906122835216, -6165.906122835216, -7303.567866001813, -7303.567866001813, -8844.88612579274, -8844.88612579274, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077]",2.83
PSO,44,-5778.6860155942095,-1823.7454070118179,"[10.0, 1.222829317910749, 0.0, 20.0, 0.0, 0.0, 11.808796191750877, 5.0]",50,17,10,0.0001,10,"[-2765.6098702653503, -2765.6098702653503, -2765.6098702653503, -2765.6098702653503, -2765.6098702653503, -2765.6098702653503, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095, -5778.6860155942095]",2.23
PSO,41,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 0.6377096139808819, 0.0, 12.0, 8.88757744315989]",50,20,10,0.0001,10,"[-3251.1493655421373, -5860.684631432915, -7268.441368484809, -7793.247797407679, -7793.247797407679, -7821.722432589116, -7821.722432589116, -9120.612614316176, -9120.612614316176, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.84
PSO,40,-9433.138479717216,-1858.7831858112297,"[2.0, 0.0, 0.0, 20.0, 1.00845648036687, 0.0, 12.0, 9.492381372275924]",50,25,10,0.0001,10,"[-2091.9037975836077, -2808.5813931403236, -2965.8167445596678, -4902.528767935323, -4902.528767935323, -5189.640896151664, -5894.150400700379, -5896.397018814395, -7756.564980858758, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9000.575024764077, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",3.49
PSO,45,-9433.138479717216,-1858.7831858112297,"[2.0, 0.30561786506129685, 0.0, 20.0, 0.9392878162340902, 0.0, 12.0, 9.235485690604733]",50,21,10,0.0001,10,"[-2244.0183767714375, -2528.0928366486537, -2528.0928366486537, -2528.0928366486537, -2750.8345455835247, -2750.8345455835247, -2920.4486860685083, -3982.2676021983525, -6148.258377843451, -9397.744272871574, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216, -9433.138479717216]",2.92
