alg,seed,fitness,theta,gens,stalled_gens,time_sec,pop_size,w,c1,c2
PSO,1,1.3161940170307962,"[0.10067493890839468, -0.007853800102130104, -0.12589557668055962, 0.2867006411185581, 0.10528009663826438, -0.036974355548099025]",44,10,0.07,100,0.8,2.0,1.8
PSO,2,1.69252299542697,"[0.22586544988331414, 0.2341201129882609, 0.0786431778943375, 0.24395083741737816, -0.026066229274259722, 0.00010335179549025852]",30,10,0.05,100,0.8,2.0,1.8
PSO,3,1.896576262817121,"[-0.7717602138428894, 0.17502837068513233, 0.02727392250029098, 0.08589320956055388, 0.03979014214991339, -0.006427974367255063]",34,10,0.05,100,0.8,2.0,1.8
PSO,4,2.1111723400932374,"[0.24454952363825866, 0.14624941574037886, -0.9110083082570122, 0.013139864289918535, 0.016424203080359523, -0.019427561827660034]",22,10,0.03,100,0.8,2.0,1.8
PSO,0,1.223945128193567,"[-0.052438544439354556, -0.023809753643340537, 0.0582639281342181, -0.24800990555712588, 0.15356185097332725, 0.1136927251655373]",50,6,0.08,100,0.8,1.8,2.0
PSO,1,2.3296842976616827,"[0.1175504838281316, 0.2971390725986819, -0.0012263525834260436, 0.2503912394944423, 0.20935220328537846, -0.299549578912119]",46,10,0.07,100,0.8,1.8,2.0
PSO,2,2.9673940824688896,"[0.2321137366766577, -0.316665003225713, 0.05736518479583275, 0.2502700923394201, -0.18133774152911153, 0.898596504717565]",20,10,0.03,100,0.8,1.8,2.0
PSO,3,0.5917459721138205,"[-0.014335326369261457, 0.07218563289217028, -0.10728956870856823, 0.009571867846275117, 0.056780497095546334, -0.12252208481808743]",28,10,0.04,100,0.8,1.8,2.0
PSO,4,2.6521421473856575,"[-0.17555761395462177, 0.8239175305329585, -0.989201923198839, -0.10155009544319571, -0.050339150743511585, -0.10728957905738379]",20,10,0.03,100,0.8,1.8,2.0
PSO,0,0.5858170636390452,"[-0.0513146136552808, 0.035354662752746416, 0.04841575364100181, 0.15108431721327661, 0.022124254046338783, 0.07467229973713885]",50,8,0.1,100,0.8,1.8,1.8
PSO,1,2.5393300544726007,"[0.08264322711921146, 0.9770176067380476, -0.06545713098760753, 0.19219240968423557, -0.9301136266759871, -0.05428903057259915]",16,10,0.03,100,0.8,1.8,1.8
PSO,2,1.3691981204685821,"[0.049847240489866884, -0.07081057415467074, 0.1090342253073473, -0.0762873951440497, -0.18137573744198665, 0.2557210639126567]",50,2,0.08,100,0.8,1.8,1.8
